trial,mean_gap,rho_min,rho_max,lambda,segment_length,sigma1,sigma2,sigma3,cooling,start_temp_ctrl,regret_k,d_wr,q_cap,max_iterations
0,0.015569422016750406,0.14591401976868257,0.2075032265668001,0.14476436600086845,164,18,8,18,0.9954338247748208,0.09016514574020137,2,1.4684761993079622,18,25000
1,0.013383487812374388,0.12580329321550437,0.2079607909051591,0.10743044883645775,382,44,18,8,0.9972415531409564,0.06285623456382591,2,4.7940368356488365,14,25000
2,0.014693455406027576,0.15472090924823406,0.30207515495539755,0.08618495490777295,440,31,8,3,0.9968958372301804,0.0782060822920794,3,4.018630156834456,6,25000
3,0.020638992750122338,0.1594597680040727,0.36086842743641023,0.4868267243498916,243,15,22,10,0.9991387292746224,0.12751875294920675,3,3.88676072628381,8,25000
4,0.0195964438130611,0.05687365754834933,0.26836948269546407,0.1518001021650325,90,24,8,13,0.9963870882795194,0.13078004441023605,3,1.813270485780424,26,25000
5,0.019233993332579438,0.08142605461572316,0.280093346614734,0.4689607479791221,381,14,24,6,0.9976653579863782,0.05651407577877098,3,2.897277208788239,39,25000
6,0.021007620930077773,0.08294227609554036,0.2972848203245966,0.3864736530202624,78,24,6,11,0.9970018122872414,0.022575834990193975,4,5.381838132363344,24,25000
7,0.016112662592431024,0.0818939816081211,0.3497693778476832,0.44349474540448425,379,39,9,9,0.9956967552944322,0.15154790659740525,4,2.3137080426146763,31,25000
8,0.025775305020947128,0.18467343254037155,0.3198201515421192,0.11746717198706882,120,42,20,3,0.9987713529660934,0.17360955283666651,2,4.13723020851545,31,25000
9,0.02558033740055233,0.13946135460979608,0.31543019350235,0.30198532989695276,289,43,13,18,0.9992952907141501,0.012181394169135731,4,1.5727587149184332,38,25000
10,0.025617526688776062,0.16263166993874148,0.4305796197972338,0.17668598178521217,200,37,10,15,0.9950161941273477,0.14719749164888304,4,2.3169452537554536,36,25000
11,0.022948339701899363,0.16429432985780973,0.35230450238129757,0.06214130317087544,370,29,25,17,0.9980387613550765,0.039039461024430615,2,3.6968951505981287,37,25000
12,0.026470352255241126,0.18777402415935535,0.37968337533806873,0.24941679693418445,107,33,14,8,0.995289046580806,0.1768218238487677,2,1.428267260339394,35,25000
13,0.026666803384850467,0.1724034880130133,0.49339534810320024,0.27102602306946266,114,18,20,18,0.9958239835252809,0.11025801960946825,4,3.1156897010044347,17,25000
14,0.02382729082432334,0.18933702395032653,0.4265795589907416,0.3480351397288145,415,29,17,12,0.9971861194187334,0.10833940979676221,2,2.23952806833004,8,25000
15,0.025509733021854993,0.1007128343221183,0.37649261553717,0.12275621897232272,162,10,7,2,0.9961424195012176,0.18202980247116432,3,1.354286749443267,19,25000
16,0.018264167560693885,0.09177158959468205,0.3456243497451472,0.27422462638342976,420,46,23,16,0.9962125562395546,0.0998648591594728,3,1.9520495718093884,10,25000
17,0.02396084240171431,0.14884741242719948,0.3062892699768661,0.21144011526437165,492,13,25,4,0.9953024572436443,0.14836058180382472,2,2.243281669601428,16,25000
18,0.021350079248572528,0.13044286308655167,0.24205468912843237,0.09990913753574429,286,25,7,15,0.9990320310012112,0.17263370956899082,2,1.2529416476244062,38,25000
19,0.023272262009497835,0.17540413776199282,0.4906988771854254,0.4639198216739825,484,25,10,14,0.9974233492159991,0.05061198684784452,3,5.512214327552743,14,25000
20,0.020302725675018223,0.10684596784653742,0.49559265313391776,0.13994949850435445,451,39,14,14,0.9984759916029649,0.14879601030893855,4,4.309356559753726,35,25000
21,0.012933474017716067,0.07321952379110963,0.28901234764836925,0.4846675888348878,346,44,6,11,0.9952852547118083,0.12099374294720452,4,5.596935654160376,37,25000
22,0.02197775866882612,0.07361490919092249,0.4882336709823351,0.04925461796788757,145,14,24,3,0.9983693106424845,0.05468874005017693,2,5.707980636145447,40,25000
23,0.02199111426089754,0.08693230216829373,0.37835574606003236,0.31349694006273054,264,47,23,17,0.9965786855314239,0.05954548216469024,4,4.580959003947074,19,25000
24,0.013002662213090151,0.08984217687970308,0.23926348463823693,0.32629538653044826,284,30,7,1,0.9972868447578668,0.19970634376234406,2,1.366303605498165,17,25000
25,0.0143595187274602,0.12588270410731484,0.2397369711099402,0.1810143291326124,85,25,16,10,0.9957871566934626,0.16841154138156333,4,2.5125857148944495,37,25000
26,0.0165385495563098,0.05117346607282369,0.4451312405346385,0.15669558857798918,389,16,9,9,0.9955759890653914,0.03033683576478935,4,1.7772395488749524,22,25000
27,0.025757533790037375,0.1407244740545336,0.4152836561416394,0.10976268304045193,374,26,21,16,0.9962530950478288,0.18255021878152866,2,1.4614923385636671,31,25000
28,0.019008590244460662,0.1744022134058329,0.213226028539715,0.1734427039164932,116,50,13,6,0.9986987422326562,0.11481928001401434,3,3.8045343238737317,11,25000
29,0.013948137898020945,0.06128657901106506,0.4649319179900429,0.45292500006434766,329,12,16,19,0.9977571002327575,0.09165947544734662,2,2.5412917496506684,6,25000
30,0.025388975676590132,0.1848386954789712,0.2630229615019262,0.13226957221923297,102,32,22,14,0.9998594467429601,0.15240074611727247,2,5.32302848109982,15,25000
31,0.022733001789464986,0.18221243069949866,0.20743590856945662,0.37091659115999026,220,36,12,9,0.9957943972364739,0.1432428557465834,3,5.360833914530449,34,25000
32,0.02270595530545345,0.08336505763184968,0.4449759816790787,0.2355485849926816,206,24,12,1,0.9982935655819157,0.08570853592730886,3,5.321764710151432,21,25000
33,0.02345647431982553,0.10267191936241285,0.35282170265841123,0.3429638779965292,481,44,15,1,0.9955755553417386,0.1943761160942233,2,3.902948668693539,20,25000
34,0.009272756973160651,0.05573857960298941,0.3789713764963234,0.17938668472310212,452,30,18,20,0.9999113368880899,0.03197269896557279,4,1.9503938725114802,6,25000
35,0.01761490625233689,0.15631779257512562,0.20050738346558886,0.46353183109455054,325,22,16,14,0.9953491693175203,0.13620516013314174,3,4.115777049732046,11,25000
36,0.023443439442462095,0.15796313945209256,0.2900966804633793,0.1615494844822401,259,30,17,10,0.9977665182635573,0.046449617668128024,4,5.701818353650915,15,25000
37,0.0212833539862777,0.14232723739270708,0.2902849623696696,0.27848923443649215,50,29,14,7,0.9971451418684493,0.12019710842717957,4,2.6112461486826906,32,25000
38,0.014687229179803528,0.11632396989572112,0.2641104202967301,0.24186123109556987,457,20,7,10,0.997572105529477,0.1302587625955012,3,1.4669360003778134,19,25000
39,0.021800511093865778,0.15091935058357508,0.2673921997991865,0.10757366703602254,62,12,12,16,0.9980502571255728,0.15601297441003742,3,3.0722050549885966,40,25000
