round,trial,phase,win_rate,median_time_ratio,mean_quality_margin,score,rho_min,rho_max,lambda,segment_length,sigma1,sigma2,sigma3,cooling,start_temp_ctrl,regret_k,d_wr,q_cap,insert_pos_cap,max_iterations
0,0,train,0.625,1.4956634636995596,0.005447999273525639,62.60895998547051,0.01,0.05,0.15,100,33,9,13,0.99975,0.05,2,3.0,1,8,25000
0,1,train,0.875,1.4950481024944644,0.007878126475931505,1072.5495189750554,0.01,0.05,0.18,80,40,12,8,0.9995,0.08,2,2.0,1,12,25000
0,2,train,0.625,1.495211307750854,0.0016173684864238002,62.53234736972848,0.02,0.08,0.12,120,33,9,13,0.9999,0.04,3,3.0,2,10,25000
0,3,train,0.625,1.4947546009613366,0.000820434103282343,62.516408682065645,0.025752473701213398,0.09951975178410372,0.14125439775536788,107,18,8,18,0.9954338247748208,0.09016514574020137,2,1.4684761993079622,2,24,25000
0,4,train,0.5,1.4945727450850277,-0.0010992213056138919,49.978015573887724,0.09428262206699724,0.14908636447588097,0.2074029419383605,189,36,12,15,0.9979404357625408,0.16379178676878708,2,4.7940368356488365,2,21,25000
0,-1,holdout,0.75,1.49473365467829,0.005158591730201802,75.10317183460404,0.01,0.05,0.18,80,40,12,8,0.9995,0.08,2,2.0,1,12,25000
1,0,train,0.0,1.494233491915391,-0.014990259340454589,-0.2998051868090918,0.05763507231251886,0.15288014247835488,0.24358196083101719,136,16,7,13,0.995482614720399,0.17102392960601737,4,5.035641366371901,4,23,25000
1,1,train,0.375,1.4947473480805122,-0.001994875998084913,37.4601024800383,0.08507193280365809,0.24690831285762763,0.15678015658125302,191,28,25,20,0.9994184042222047,0.07871065497172554,3,4.522859181074617,2,19,25000
1,2,train,0.25,1.4955214723842825,-0.007242618550684265,24.855147628986316,0.11822956771041686,0.24830047487598714,0.22829765815227204,75,34,13,15,0.9981720653768794,0.079318114004316,4,2.7763535011376073,4,20,25000
1,3,train,0.5,1.4954570137351233,-0.0009619709927847473,49.980760580144306,0.10825484388419718,0.21360798153671673,0.11071037643678225,93,44,12,6,0.997306678457137,0.06129008708901282,3,4.423071254949373,2,19,25000
1,4,train,0.625,1.4948171083051554,1.883560264067916e-05,62.50037671205281,0.12505236316095317,0.22758026708868967,0.16017471805334935,66,23,23,11,0.9960610064548302,0.10485393930353269,4,1.7143579522103134,2,19,25000
1,-1,holdout,0.5,1.494620851682924,0.00017186315108883303,50.00343726302177,0.12505236316095317,0.22758026708868967,0.16017471805334935,66,23,23,11,0.9960610064548302,0.10485393930353269,4,1.7143579522103134,2,19,25000
2,0,train,0.5,1.495378634351959,-0.0013555216619646842,49.972889566760706,0.11429845749282491,0.2234911941558692,0.2120520717478387,159,47,17,12,0.9960944105881948,0.19953214523407095,4,1.4545470608689695,3,20,25000
2,1,train,0.125,1.4957371849004018,-0.007946167022237749,12.341076659555245,0.031397784708756545,0.2016989650990409,0.20207218202444904,66,34,17,20,0.9999706456873981,0.11053172556883603,3,4.401417051282593,3,24,25000
2,2,train,0.125,1.495458078335672,-0.00983705115150028,12.303258976969994,0.11512289194282535,0.23669442712780314,0.1510263209546568,125,37,10,15,0.9950161941273477,0.14719749164888304,4,5.859440494350571,3,24,25000
2,3,train,0.125,1.4953847508249873,-0.010834292219216939,12.283314155615662,0.13776789750827487,0.2425548177656141,0.14476671871729493,179,48,11,5,0.9968658301244299,0.04069431679309914,3,3.994722922301145,4,20,25000
2,4,train,0.125,1.495437527326063,-0.009107709272097102,12.317845814558058,0.025661481544925306,0.21337139411290368,0.24779820684157183,128,25,6,8,0.9993812679000282,0.1899203946066189,3,4.659537974223139,3,24,25000
2,-1,holdout,0.0,1.4950129800513805,-0.006807543079998613,-0.13615086159997225,0.11429845749282491,0.2234911941558692,0.2120520717478387,159,47,17,12,0.9960944105881948,0.19953214523407095,4,1.4545470608689695,3,20,25000
