trial,mean_gap,population_size,elite_count,tournament_k,crossover_rate,mutation_rate,max_generations,local_search_rate,local_tabu_iters,local_neighborhood_size,tabu_tenure,swap_prob
0,0.003652440631051693,60,2,3,0.9,0.13571214883121668,3000,0.1556655340828402,90,20,7,0.5
1,0.006652680110514419,28,2,3,0.9,0.2566723793571639,3000,0.4682356070820062,42,20,7,0.5
2,0.005038532866824809,22,2,3,0.9,0.13143131268675887,3000,0.11489860971903518,75,20,7,0.5
3,0.0030942778643295137,58,2,3,0.9,0.30060686452284124,3000,0.11326798484193182,70,20,7,0.5
4,0.0040538509553520955,54,2,3,0.9,0.2562429893565681,3000,0.3097599104808294,134,20,7,0.5
5,0.00332201978495944,20,2,3,0.9,0.2943487882458794,3000,0.4794036835648836,60,20,7,0.5
6,0.0067940767914290755,41,2,3,0.9,0.38502457527237344,3000,0.23893567083582093,75,20,7,0.5
7,0.004716035691718918,41,2,3,0.9,0.08385073189171241,3000,0.15110513825992436,117,20,7,0.5
8,0.0076681561064530996,42,2,3,0.9,0.3054061253428363,3000,0.4018630156834455,31,20,7,0.5
9,0.0017136923993931999,54,2,3,0.9,0.07758006932746037,3000,0.16241308142660468,116,20,7,0.5
10,0.0034662371483462646,38,2,3,0.9,0.25207325083986676,3000,0.5147023321264974,112,20,7,0.5
11,0.005918028257649595,24,2,3,0.9,0.3205739192760422,3000,0.12291219182783111,78,20,7,0.5
12,0.003941770720613554,25,2,3,0.9,0.18304417876370815,3000,0.5276588605075735,45,20,7,0.5
13,0.006099307245019864,49,2,3,0.9,0.10692893400462969,3000,0.4178422221322001,113,20,7,0.5
14,0.004967408794509124,42,2,3,0.9,0.295637109710493,3000,0.20475351538574385,88,20,7,0.5
15,0.005589398137133765,24,2,3,0.9,0.2369489569603978,3000,0.40456550283349413,63,20,7,0.5
16,0.005405433061398864,35,2,3,0.9,0.14448173937449732,3000,0.1817012468809642,117,20,7,0.5
17,0.005923742572388972,60,2,3,0.9,0.2896149878464561,3000,0.44408097921665657,76,20,7,0.5
18,0.007922841472181077,23,2,3,0.9,0.331766030269925,3000,0.2145240359820522,28,20,7,0.5
19,0.006097651113550979,45,2,3,0.9,0.3695976434649408,3000,0.23387043798785137,74,20,7,0.5
